N;Názov Online Kurzu;"Cena Po Zľave";"Normálna Cena";Kategória;Popis
14;Online kurz Adobe Photoshop IV. Web Designer;90;118,40;Grafika a Dizajn;Online kurz Adobe Photoshop IV. Web Designer je určený pre teba, ak máš mierne pokročilé skúsenosti s Adobe Photoshopom. Naučíme ťa princípy a koncepty informačného designu. Osvojíš si prístupnosť a psychológiu designu. Ako absolvent kurzu Adobe Photoshop IV. Web Designer zvládneš navrhovať vlastný design pre rôzne zariadenia.
15;Online kurz Adobe Photoshop V. Expert Camera Raw;79;104;Grafika a Dizajn;Online kurz Adobe Photoshop V. Expert je určený pre teba, ak sa chceš naučiť pracovať vo Photoshope ako majster. Digitálny súbor formátu RAW bude pre teba samozrejmosťou. Naučíme ťa pracovať s metadátami pri tvorbe inteligentných fotografií a automatizovať úlohy.
16;Online kurz Adobe Premiere Pro I. Začiatočník;73;96,2;Grafika a Dizajn;Online kurz Adobe Premiere Pro I. Začiatočník je pre teba vhodný, ak si začiatočník a chceš sa naučiť pracovať v Adobe Premiere Pro. Vytvárať a upravovať video súbory sa pre teba stane samozrejmosťou. Osvojíš si používateľské prostredie a jeho nástroje. Naučíme ťa pracovať s videoefektmi a dynamicky vytvárať titulky.
17;Online kurz AJAX;98;128,7;Tvorba Web Stránok;Online kurz AJAX ťa naučí vytvárať interaktívne webové aplikácie, oboznámiš sa s XML a používaním objektu XMLHttpRequest. Ak absolvuješ náš kurz, nebude ti robiť problém odosielať požiadavky a spracovávať odpovede servera. Po absolvovaní kurzu budeš vedieť ladiť požiadavky AJAXU pomocou Greasemonkey. Na kurze si ukážeme vzorové príklady a dozvieš sa ako sa vyhnúť najčastejším problémom.
18;Online kurz Ako sa stať Analytikom;162,2;215,20;Databázy a Analytika;Online kurz Ako sa stať Databázový Analytik je pre teba vhodný ak sa chceš uplatniť na pozícii ako analytik. Venovať sa budeme základom analytiky, terminológii, princípom a metodike. Budeš sa vedieť orientovať typoch analýz ako sa používajú v praxi, povieme si aké nástroje analytik používa a ako fungujú a tvoria sa analýzy.
19;Online kurz Ako sa stať Databázový Analytik;168;221,5;Databázy a Analytika;Online kurz Ako sa stať Databázový Analytik je pre teba vhodný ak sa chceš uplatniť na pozícii ako databázový analytik. Venovať sa budeme najčastejšie využívaným databázam. Ako analytik zvládneš plánovanie a definovanie potrieb databázy. Problém ti nebude robiť návrh a realizácia architektúry a štruktúry databázového systému. Sústrediť sa budeme na databázy Access a SQL. 
20;Online kurz Ako sa stať dátový analytik v Python;82;104;Programovacie Jazyky;Online kurz Ako sa stať dátový analytik v Python je pre teba vhodný ak sa chceš uplatniť na pozícii ako dátový analytik. Venovať sa budeme najčastejšie využívaným aplikáciám v jazyku Python . Ako dátový analytik zvládneš plánovanie a definovanie potrieb databázy. Problém ti nebude robiť návrh, spracovávať štatistické dáta, interpretovať analyzované dáta. 
21;Online kurz Ako sa stať programátor v Pythone;101;132,6;Programovacie Jazyky;Online kurz Ako sa stať programátor v Pythone je určený pre všetkých začiatočníkov bez znalosti programovacích jazykov, ktorých láka svet IT, ale aj pre tých, ktorí už nejaké skúsenosti majú. Naučíš sa základy programovania či algoritmizácie a byť tak pripravený začať študovať IT. Budeš poznať základné princípy programovania, budeš vedieť samostatne tvoriť jednoduché aplikácie v jazyku Python a hlavne budeš vedieť ako uvažovať pri programovaní a vytvárať vlastné algoritmy.
22;Online kurz Algoritmy a Programovanie I. Začiatočník;140;185;Programovacie Jazyky;Online kurz Algoritmy a Programovanie I. Začiatočník je určený pre teba, ak ovládaš základy programovania a chceš sa naučiť základné algoritmy. Zasvätíme ťa do tajov rekurzie a zložitosti algoritmov, ktoré ťa naučíme aj triediť. Objasníme ti dátové typy, štruktúry a spôsob, akým spomínané rekurzie odstraňovať.
23;Online kurz Analýza Dát I. Začiatočník;106;139,1;Databázy a Analytika;Online kurz Analýza Dát I. Začiatočník je pre teba ideálnou voľbou, ak sa chceš venovať triedeniu, vizualizácii a analýze dát. Naučíme ťa, aké rôzne povahy dát poznáme a oboznámime ťa s kvantitatívnou a kvalitatívnou dátovou analýzou. Osvojíš si rôzne spôsoby vizualizácie dát a triedenia textu.
