N;Názov Online Kurzu;"Cena Po Zľave";"Normálna Cena";Kategória;Popis
91;Online kurz HTML5, CSS3 I. Začiatočník;78;102,7;Tvorba Web Stránok;Chceš sa naučiť alebo máš minimálne skúsenosti s tvorbou moderných internetových stránok? Online kurz HTML5 a CSS3 pre začiatočníkov je určený práve pre teba. Naučíš sa používať nové štrukturálne značky a budeš vedieť vytvárať používateľsky prívetivé webové formuláre. Pomocou CSS3 zvládneš tvoriť pruhované riadky či viacstĺpcové layouty.  Po absolvovaní online kurzu budeš vedieť kresliť s elementom CANVAS. Dokážeš tvoriť vlastný videoprehrávač a na tvojej stránke naberie multimediálny obsah nový rozmer.
92;Online kurz HTML5, CSS3 II. Mierne Pokročilý;90;118,4;Tvorba Web Stránok;Online kurz HTML5, CSS3 II. Mierne pokročilý je vhodný, ak máš skúsenosti s jazykom HTML, CSS, alebo si absolvoval kurz HTML5, CSS3 I. Začiatočník. Naučíš sa pokročilejšie techniky vytvárania webových stránok. Tvorba objednávkového formulára či zoznamov sa pre teba stane bežnou rutinou. Po absolvovaní kurzu dokážeš rýchlo vytvoriť vlastný layout či celú šablónu stránok. Naučíme ťa používať kaskádové štýly pre tlač, či dynamické efekty pomocou kaskádových štýlov.
93;Online kurz IBM DB2 I. Začiatočník;224;292,5;Databázy a Analytika;Online kurz IBM DB2 I. Začiatočník je pre teba ideálnou voľbou, ak sa chceš venovať práci s databázovým systémom DB2. Oboznámime ťa s jeho prostredím a ukážeme ti, ako tento systém spustiť na rôznych platformách. Zistíš, ako vytvoriť databázu, ako umiestňovať dáta a ako tvoriť objekty. Zameriame sa aj na základy a rozšírenia jazyka SQL pre DB2. Ako absolvent online kurzu IBM DB2 zvládneš vytvárať databázy v DB2 a riešiť ich zabezpečovanie.
94;Online kurz IBM SPSS Statistics;128;199;Databázy a Analytika;Online kurz IBM SPSS je pre teba skvelou voľbou, ak chceš využívať softvér IBM SPSS na prediktívnu analýzu. Oboznámime ťa so súbormi IBM SPSS a zistíš, ako zapisovať dáta do súboru. Ukážeme ti, ako pracovať s datasetmi a ako vykonávať agregáciu prípadu. Zvládneš vykonávať manuálne úpravy, usporiadanie prípadov a ich výber. Ako absolvent kurzu IBM SPSS dokážeš vytvárať prehľady a pracovať so štatistickými tabeláciami.
95;Online kurz Informačná Bezpečnosť;84;116,00;Administrácia IT;Online kurz Informačná Bezpečnosť ťa naučí bezpečnú prácu s operačným systémom, aby si nepodľahol väčšine rizík, ktoré sa pri práci vyskytujú. Oboznámime ťa so súčasnou legislatívou, zdrojmi a našimi odporúčaniami. Zoznámiš sa s celou problematikou, čo sa v online svete v skutočnosti deje, aké sú riziká pri komunikácií a ktorý obsah je rizikový.
96;Online kurz Internet Marketing I. Začiatočník;50;66,3;Marketing, Reklama a Právo;Online kurz Internet Marketing I. Začiatočník je pre teba ideálny, ak sa chceš naučiť prezentovať svoju firmu, služby alebo produkty online. Vylepšíme tvoje kampane, texty a komunikáciu na sociálnych sieťach. Osvojíš si využívanie sociálne siete vo svoj prospech. Naučíme ťa vytvárať a upravovať príspevky, efektívne spravovať a propagovať Facebook stránku a premieňať tvojich fanúšikov na zákazníkov. Ako absolvent online kurzu Internet marketing I. Začiatočník zvládneš vytvárať a vyhodnocovať reklamné stratégie na internete.
97;Online kurz Internet Marketing II. Mierne Pokročilý;67;88,4;Marketing, Reklama a Právo;Online kurz Internet Marketing II. Mierne Pokročilý je vhodný pre teba, ak sa chceš naučiť pokročilé techniky prezentácie na sociálnych sieťach. Alebo si absolvoval online kurz Internet marketing I. Začiatočník. Osvojíš si vytváranie inzerátov na Facebooku, integráciu jednotlivých kampaní a prácu s Facebook aplikáciami. Taktiky ako o tvoju firmu, či produkt vzbudiť záujem budeš mať v malíčku. Naučíme ťa správne vyhodnocovať a interpretovať údaje. Ako absolvent online kurzu Internet marketing zvládneš náročnejšie spôsoby prezentácie na Facebooku.
98;Online kurz Internetová a Informačná Bezpečnosť;80;105;Administrácia IT;Online kurz Internetová a Informačná Bezpečnosť ťa naučí bezpečnú prácu s operačným systémom, aby si nepodľahol väčšine rizík, ktoré sa pri práci vyskytujú. Oboznámime ťa so súčasnou legislatívou, zdrojmi a našimi odporúčaniami. Zoznámiš sa s celou problematikou, čo sa v online svete v skutočnosti deje, aké sú riziká pri komunikácií a ktorý obsah je rizikový.
99;Online kurz Interný Auditor ISO 27001;224;307,13;Manažérske Kurzy;Online kurz Interní Audítori preverujú, či celý systém bezpečnosti informácií je v súlade s požiadavkami normy, či je efektívne zavedený a ako efektívne v praxi funguje. Prínosom interných auditov je predovšetkým vyhľadanie potenciálu a príležitostí pre zlepšovanie výkonnosti organizácie. Získaš spôsobilosť (odbornú kvalifikáciu) pre vykonávanie interných auditov tým, že sa podrobne zoznámiš s požiadavkami normy ISO/IEC 27001:2013. Ukážeme si proces posudzovania rizík (Risk Assessment), ktorý je základným prvkom tejto normy a s jeho prínosmi. Tiež si ukážeme proces implementácie ISMS, získaš praktické skúsenosti týkajúce sa prípravy a vlastného vedenia auditu, pochopíš psychologické aspekty auditu a budeš pripravený na možné prekážky, s ktorými sa môžeš pri vykonaní auditu stretnúť.
100;Online kurz IT Bezpečnosť - Mobilná Komunikácia;80;105;Administrácia IT;Online kurz IT Bezpečnosť - Mobilná Komunikácia ťa naučí bezpečnú prácu s operačným systémom, aby si nepodľahol väčšine rizík, ktoré sa pri práci vyskytujú. Oboznámime ťa so súčasnou legislatívou, zdrojmi a našimi odporúčaniami. Zoznámiš sa s celou problematikou, čo sa v online svete v skutočnosti deje, aké sú riziká pri komunikácií a ktorý obsah je rizikový.
101;Online kurz IT Management;170;224;Manažérske Kurzy;Online kurz IT Management je pre teba vhodný, ak máš väčšie skúsenosti s manažmentom alebo si u nás absolvoval kurz Vedenie ľudí a Teambuilding II. Pokročilý. Na kurze IT Management máme pre teba pripravené cenné informácie o metodikách, rámcoch a štandardoch. Naučíme ťa ako zavádzať správu zmien, či ako spravovať incidenty a problémy. Ako absolvent kurzu IT Management zvládneš vytvoriť fungujúci projekt a budeš vedieť ako správne pracovať s možnými incidentmi.
102;Online kurz ITIL v3 Foundation;224;307,13;Manažérske Kurzy;Online kurz na ITIL V3 Foundation je kurzom, ktorý skvalitní IT služby prostredníctvom ITIL V3 Foundation súvisiace s podnikaním a biznisom. Na kurze ITIL V3 Foundation sa dozvieš všetky potrebné informácie na prechod služby. Ďalej sa naučíš plánovanie a podporu prechodu, ku ktorému patria vytýčenie cieľov, aktivity procesu či rozhodujúce faktory úspechu a ukazovatele výkonnosti. Po absolvovaní kurzu na ITIL V3 Foundation budeš ovládať správu zmien, aktivít služieb a konfigurácií, správu releasu a prevádzkového nasadenia, ale aj validáciu a testovanie služieb či vyhodnotenie zmien.
103;Online kurz Java I. Začiatočník;67;88,4;Programovacie Jazyky;Online kurz Java I. Začiatočník je určený pre teba, ak sa chceš naučiť programovať v jazyku Java. Naučíme ťa, čo sú to dátové typy, operátory a ako pracovať so základnými príkazmi. Budeš vedieť, kde všade sa dá Java využiť a ako zmenila prostredie IT. Osvojíš si Java prostredie na praktických príkladoch. Naučíme ťa tiež, čo sú to cykly a snippety a ako ich používať. Ako absolvent online kurzu Java získaš pevné praktické základy pre budúcu prácu v Jave.
104;Online kurz Java II. Mierne Pokročilý;98;128,7;Programovacie Jazyky;Online kurz Java II. Mierne pokročilý je pre teba vhodný, ak sa chceš naučiť programovať triedy, objekty a metódy v prostredí Java. Naučíme ťa, čo sú to konštruktory a spracovávať výnimky. Budeš vedieť ako v Jave funguje dedičnosť. Oboznámime ťa s knižnicou Swing, jej filozofiou a použitím jej komponentov. Ako absolvent kurzu Java II. Mierne pokročilý zvládneš používať parametre a konštruktory. Spracovávať výnimky a ovládať základy o knižnici Swing bude pre teba samozrejmosťou.
105;Online kurz Java III. Tvorba GUI a SWING;123;161,2;Programovacie Jazyky;Online kurz Java III. Tvorba GUI a SWING je pre teba ako stvorený, ak máš skúsenosti s jazykom Java. Absolvoval si náš kurz Java II. Mierne Pokročilý. Oboznámime ťa bližšie s knižnicou Swing a jej komponentmi. Vytvárať menu a pracovať s udalosťami sa pre teba stane hračkou. Naučíme ťa pracovať s anotáciami, balíčkami a aserciou. Ako absolvent online kurzu Java zvládneš vytvárať vlastné plnohodnotné grafické aplikácie.
106;Online kurz Java IV. Pokročilý;123;161,2;Programovacie Jazyky;Online kurz Java IV. Pokročilý je určený pre teba, ak sa chceš naučiť programovať v jazyku Java. Naučíme ťa vstupno-výstupné operácie, čo sú to prúdy a využívať ich. Prevedieme ťa úvodom do viacvláknového programovania, aj metódami synchronizácie. Využívať príkaz synchronized a metódy komunikácie s vláknom bude pre teba samozrejmosťou. Naučíme ťa tiež realizovať automatické zabaľovanie, statické importy a anotácie. V závere kurzu ťa oboznámime s generickými typmi. Ako absolvent kurzu Java IV. Pokročilý zvládneš vytvárať Java aplikácie pokročilejšími metódami.
107;Online kurz Java IX. Návrhové vzory;168;219,7;Programovacie Jazyky;Online kurz Java IX. Návrhové vzory je určený pre teba, ak sa chceš naučiť vytvárať a upravovať aplikácie pomocou návrhových vzorov v jazyku Java. Naučíme ťa, čo je to služobník a prepravka. Optimalizovať rozhrania a zjednodušovať programy bude pre teba samozrejmosťou. Hravo zvládneš interpretovať reťazec zodpovednosti a ďalšie možnosti prispôsobenia systémov. Ako absolvent online kurzu Java Návrhové vzory zvládneš pokročilé objektovo orientované programovanie. Hravo zvládneš využívať návrhové vzory.
108;Online kurz Java V. Práca s XML;123;161,2;Programovacie Jazyky;Online kurz Java V. Práca s XML je pre teba ideálny, ak sa chceš naučiť používať jazyk Java spolu so spracovaním XML dokumentov. Oboznámime ťa so schémovými jazykmi a DTD súbormi. Osvojíš si jazyk W3C XML Schema. Naučíme ťa základné princípy práce s XSD súbormi a možnosti nastavenia parseru. Zvládneš základy používania DOM. Ako absolvent kurzu Java a XML zvládneš tvoriť XML dokumenty a generovať súbory z XSD. Validácia, zápisy do XML a príprava kompletného dokumentu sa pre teba stanú samozrejmosťou.
109;Online kurz Java VI. JDBC a Databázy;154;201,5;Programovacie Jazyky;Online kurz Java VI. JDBC a Databázy je určený pre teba, ak sa chceš naučiť pracovať s databázami a využívať technológie JDBC. Máš skúsenosti s jazykom Java. Naučíme ťa nainštalovať všetko potrebné. Zvládneš spracovávať príkazy SQL, výnimky SQL a používať transakcie. V závere kurzu zvládneš používať pokročilé dátové typy. Implementovať rozhrania TableModel či RowSetListener bude pre teba samozrejmosťou. Zvládneš vytvárať a spracovávať databázy prostredníctvom JDBC.
110;Online kurz Java X. Java EE – Servlety a JSP;149;187;Programovacie Jazyky;Online kurz Java X. Java EE - Servlety a JSP je pripravený pre teba, ak sa chceš naučiť pracovať s programovými komponentmi na strane servera písaných v jazyku Java. Predstavíme ti technologické pozadie servletov, ich vytváranie a životný cyklus. Osvojíš si aj ďalšie možnosti vývoja. Naučíme ťa pracovať s balíčkom javax.servlet.
111;Online kurz Java XIV. Liferay;185;241,8;Programovacie Jazyky;Online kurz Java XIV. Liferay je pre teba ideálnou voľbou, ak sa chceš naučiť pracovať vo frameworku Liferay prostredníctvom jazyka Java. Naučíme ťa vyberať vývojové nástroje a pluginy. Zvládneš vytvárať Liferay témy a Layout šablóny. Oboznámime ťa s pojmom Portlety a ako sa dajú využívať externé pluginy. Dostaneš sa aj k vývoju vlastného Liferay projektu. Naučíme ťa pracovať s Liferay Marketplace a správne publikovať aplikácie. Ako absolvent kurzu Java XIV. Liferay hravo zvládneš vytvoriť projekt vo frameworku Liferay.
112;Online kurz Java XV. SOAP, WSDL a REST;195;264;Programovacie Jazyky;Online kurz Java XV. SOAP, WSDL a REST je pre teba vhodný, ak máš skúsenosti s programovacím jazykom Java. Naučíme ťa narábať s SOAP protokolom a validáciou. Ovládneš WSDL a verejné rozhranie webovej služby. Ako absolvent kurzu Java zvládneš pracovať s REST webovými službami.
113;Online kurz JavaScript I. Začiatočník;67;88,4;Tvorba Web Stránok;Na online kurze JavaScript určenom pre začiatočníkov sa dozvieš základy jazyka JavaScript. Oboznámiš sa s verziami a o tom, ako implementovať jazyk JavaScript do svojich webových stránok. Naučíš sa pracovať s dátovými typmi či operátormi. Po absolvovaní online kurzu zvládneš pracovať s objektami, funkciami alebo spravovať pamäť.
114;Online kurz JavaScript II. Mierne Pokročilý;98;128,7;Tvorba Web Stránok;Máš základné skúsenosti s jazykom JavaScript a chceš sa rýchlo posunúť na nový level? Náš kurz JavaScript pre pokročilých, je pre teba to pravé. Naučíme ťa pokročilé praktiky, ako detekciu informácii o klientovi (používateľovi) alebo zachytávanie udalostí. Oboznámiš sa s typmi udalosti, ako používateľské rozhrania, myši či klávesníc. Po absolvovaní kurzu budeš vedieť odosielať dáta z formulárov ale aj ošetrovať chyby.
115;Online kurz JavaScript III. OOP Objektové Programovanie;123;161,2;Tvorba Web Stránok;Online kurz JavaScript III. OOP je vhodný, ak si už absolvoval online kurz JavaScript II. Mierne Pokročilý, alebo máš pokročilé skúsenosti s jazykom JavaScript. Kurz je zameraný na objektovo orientované programovanie v jazyku JavaScript. Preberieme druhy dedičnosti, vytváranie objektov. Po absolvovaní online kurzu budeš vedieť používať anonymné funkcie, objektové modely prehliadačov a dokumentu. Naučíš sa pracovať s modelom DOM.
116;Online kurz JavaScript IV. Ajax a JSON;123;161,2;Tvorba Web Stránok;Online kurz JavaScript IV. Ajax a JSON je vhodný, ak máš skúsenosti s jazykom JavaScript, alebo si už absolvoval náš kurz JavaScript III OOP a chceš sa ďalej zdokonaliť v JavaScripte. Naučíš sa pracovať s DOM a asynchrónnym spracovaním požiadaviek GET či POST. Budeš ovládať osvedčené postupy pre efektívne nasadenie a výkon JavaScript aplikácii.
117;Online kurz Jazyk C a C++ I. Začiatočník;67;88,4;Programovacie Jazyky;Online kurz Jazyk C a C++ I. Začiatočník je pre teba vhodný, ak sa chceš naučiť programovať v jazyku C/C++. Naučíš sa procedurálne programovanie, dátovú abstrakciu, ale aj objektovo orientované programovanie. Online kurz obsahuje podrobný výklad jazyka, syntaxe, základné a užitočné funkcie spolu s cvičeniami. Cieľom je naučiť sa základné konštrukcie a získať zručnosti pri písaní programov v jazyku C/C++.
118;Online kurz Jazyk SQL a SQL Server I. Začiatočník;112;146,9;Databázy a Analytika;V online kurze Jazyk SQL a SQL Server I. Začiatočník sa naučíš pracovať s jazykom SQL. SQL je jazyk určený na uchovávanie údajov. Používa sa v rôznych databázach. Získaš vedomosti z inštalácie a správy databáz, tvorenia tabuliek a naučíš sa aj obnovovať databázy. Okrem toho budeš ovládať inštaláciu, upgrade a správu SQL Server databázy.
119;Online kurz Jazyk SQL I. Začiatočník;67;88,40;Databázy a Analytika;Online kurz Jazyk SQL I. Začiatočník je určený každému, kto chce alebo musí pracovať s SQL databázami. Na online kurze ti vysvetlíme jednoduché princípy, koncepciu tohto jazyka, jednotlivé kategórie príkazov a definovanie databázových objektov. Naučíš sa pracovať so základnými príkazmi, operátormi a inými funkciami. Zameriava sa na zvládnutie základov najpoužívanejšieho neprocedurálneho dopytovacieho jazyka SQL (Structured Query Language), ktorý je štandardom relačných databáz a je podporovaný takmer všetkými databázovými systémami.
120;Online kurz Jazyk SQL II. Mierne Pokročilý;95;104;Databázy a Analytika;Online kurz SQL II. Mierne Pokročilý ťa oboznámi s rozšírenými možnosťami využívania jazyka SQL. Naučíš sa zvládnuť kombináciu dát v SQL z viacerých tabuliek, tvorbu zložitejších dopytov a osvojíš si možnosti správy dát s pomocou jazyka DML. Zvládneš využívanie jazyka SQL a správu dát.
121;Online kurz Jazyk SQL pre Analytikov a Dátových Vedcov;101;132,6;Databázy a Analytika;Online kurz Jazyk SQL pre Analytikov a Dátových Vedcov je pre teba vhodný ak sa chceš uplatniť na pozícii ako databázový analytik. Venovať sa budeme najčastejšie využívaným databázam. Zvládneš plánovanie a definovanie potrieb databázy. Problém ti nebude robiť návrh a realizácia architektúry a štruktúry databázového systému. Sústrediť sa budeme na databázy SQL.
122;Online kurz Jazyk SQL v Microsoft SQL Server I. Začiatočník;119;149;Databázy a Analytika;Na online kurze Jazyk SQL v Microsoft SQL Server I. Začiatočník sa naučíš základy najpoužívateľnejšieho dopytovacieho jazyka SQL (Structured Query Language) v Microsoft SQL Server. Oboznámime ťa s SQL Server databázou, úvodom do návrhu databázy a normalizácie, základmi písania SQL dotazov, DML príkazmi na prácu s údajmi. Naučíš sa analyzovať údajov pomocou dopytov v jazyku SQL. Nainštaluješ Microsoft SQL Server a zvládneš základnú administráciu databáz.
123;Online kurz JIRA a Testovanie I. Začiatočník;185;241,8;Programovacie Jazyky;Online kurz JIRA a Testovanie I. Začiatočník pozostáva z mnohých užitočných funkcií, ktoré uľahčujú riešenie problémov. Jira sa používa na sledovanie chýb, sledovanie problémov a riadenie projektov. Ukážeme ti použitie tohto nástroja na zaznamenávanie problémov a chýb súvisiacich s tvojim softvérom a mobilnými aplikáciami.
124;Online kurz jQuery;79;105;Tvorba Web Stránok;Na online kurze jQuery sa oboznámiš s hlavnými výhodami knižnice jQuery a pripravíš na jej používanie HTML dokumentoch. Osvojíš si prácu s modelom DOM. Dokážeš načítavať dáta na požiadanie, sledovať požiadavky a ošetrovať chyby. Budeš schopný pracovať so základnými animáciami a transformáciami.
125;Online kurz Katalon I. Začiatočník;140;183,30;Programovacie Jazyky;Online kurz Katalon I. Začiatočník je výkonné riešenie automatizácie s komplexnou a integrovanou sadou funkcií od zaznamenania testovacích krokov, generovania skriptov po vykonávanie a vykazovanie výsledkov testov pre automatizáciu testovania aplikácií na webe, API, mobilných a desktopových aplikáciách. Bola široko prijatá globálnou komunitou používateľov a je uznávaná ako špičkový nástroj automatizácie.
126;Online kurz Katalon II. Pokročílý;212,92;283,99;Programovacie Jazyky;Online kurz Katalon II. Pokročilý je výkonné riešenie automatizácie s komplexnou a integrovanou sadou funkcií od zaznamenania testovacích krokov, generovania skriptov po vykonávanie a vykazovanie výsledkov testov pre automatizáciu testovania aplikácií na webe, API, mobilných a desktopových aplikáciách. Bola široko prijatá globálnou komunitou používateľov a je uznávaná ako špičkový nástroj automatizácie.
127;Online kurz Lean IT;224;307,13;Manažérske Kurzy;Online kurz Lean IT je pre teba vhodný, ak chceš teóriu Lean managementu uplatňovať v IT prostredí. Predstavíme ti základnú filozofiu a koncept Lean Managementu a vysvetlíme ti jeho dôležitosť. Oboznámime ťa s princípmi Lean Managementu ako je Value stream, flow či Pull/Demand systém. Zameriame sa na správnu implementáciu Lean IT, zvládneš tiež efektívnu úpravu procesov a znižovanie nákladov. Ako absolvent online kurzu Lean IT dokážeš uplatňovať princípy Lean managementu v rámci IT prostredia.
128;Online kurz Lektor (Akreditovaný Kurz Lektor);127;167,5;Manažérske Kurzy;Online kurz Lektor je pre teba ideálny, ak sa chceš venovať vzdelávaniu ostatných. Naučíme ťa všetko, čo by mal správny lektor poznať. Zistíš, ako identifikovať potreby uchádzačov kurzov a ako ich zaujať. Tento akreditovaný kurz je ideálny, ak sa chceš certifikovať ako lektor alebo potrebuješ získať lektorské oprávnenie/potvrdenie pre svoju prácu či biznis. Naučíš sa efektívne využívať Microsoft PowerPoint a tvoriť fantastické prezentácie. Osvojíš si rôzne spôsoby prípravy a techniky na udržanie pozornosti publika. Kurz je odporúčaný pre záujemcov o lektorské oprávnenia v rôznych oblasti života a podnikania (BOZP, medikér/manikér, kozmetika, IT a technológie, marketing a biznis, vzdelávanie a pod.)
129;Online kurz Lektorské Zručnosti I. Začiatočník;61;84,63;Manažérske Kurzy;Online kurz Lektorské Zručnosti I. Začiatočník je pre teba ideálny, ak sa chceš venovať vzdelávaniu ostatných. Naučíme ťa všetko, čo by mal správny lektor poznať. Zistíš, ako identifikovať potreby uchádzačov kurzov a ako ich zaujať. Osvojíš si rôzne spôsoby prípravy a techniky na udržanie pozornosti publika.
130;Online kurz LinkedIn Marketing I. Začiatočník;61;80,6;Marketing, Reklama a Právo;Online kurz LinkedIn Marketing I. Začiatočník je vhodný pre teba, ak sa chceš naučiť využívať LinkedIn. Zvládneš si založiť a optimalizovať osobný profil. Osvojíš si využívanie LinkedIn na marketingové účely. Naučíme ťa vytvárať vlastné skupiny, vyhľadávať kontakty a zdôrazniť vlastnú špecializáciu.
131;Online kurz LinkedIn Marketing II. Mierne Pokročilý;84;110,5;Marketing, Reklama a Právo;Online kurz LinkedIn Marketing II. Mierne Pokročilý je pre teba ideálny, ak sa chceš naučiť profesionálne využívať sociálnu sieť LinkedIn, vrátane všetkých jej doplnkov. Naučíme ťa budovať svoj osobný StartUp na LinkedIn, nadväzovať spojenia a získavať na dôveryhodnosti. Pracovať s odporúčaniami a interaktívnymi médiami bude pre teba hračkou. Osvojíš si výhody Premium účtov a ako cez túto sieť získavať nových klientov. Ako absolvent online kurzu LinkedIn Marketing II. Mierne Pokročilý zvládneš spravovať svoj osobný profil aj firemnú stránku.
132;Online kurz Linux Kali - Penetračné testovanie;168;221,5;Programovacie Jazyky;Online kurz Linux Kali - Penetračné testovanie je pre teba vynikajúcou príležitosťou, ako sa stať expertom na penetračné testovanie. Oboznámime ťa s metódami penetračného testovania rôzneho druhu aplikácií. Naučíš sa pracovať s vývojovou platformou Linux Kali, ktorá má predinštalovaných množstvo aplikácii určených na bezpečnostný audit.
133;Online kurz Linux/Unix I. Začiatočník;67;88,4;Operačné Systémy;Online kurz Linux/Unix I. Začiatočník je vhodný pre začiatočníkov alebo ľudí s minimálnymi skúsenosťami s operačným systémom Linux. Online kurz Linux/Unix I. Začiatočník ťa naučí prácu so shellom a základné príkazy používané v Linuxe. Oboznámime ťa s princípmi skupín používateľov, čo je to root a ako prideľovať práva.
134;Online kurz Linux/Unix II. Mierne Pokročilý;107;140,6;Operačné Systémy;Online kurz Linux/Unix II. Mierne Pokročilý je vhodný pre používateľov, ktorí už majú skúsenosti so systémom Linux alebo absolvovali online kurz Linux/Unix I. Začiatočník. Online kurz Linux/Unix II. ťa zoznámi s najdôležitejšími príkazmi a funkciami editoru Vim. Nahliadneme do sveta Shellu, kde ťa naučíme pracovať pod príkazovým riadkom, ako spracovať a presmerovať štandardný vstup/výstup a spustiť skript na pozadí. Absolventovi Linux/Unix už nebude robiť problém používať programovacie jazyky awk (jeho implementáciu gawk) a utilitu sed na spracovanie súborov a textu.
135;Online kurz Mac OS X I. Začiatočník;59;80,60;Operačné Systémy;Online kurz Mac OS X I. Začiatočník je vhodný pre začiatočníkov v operačnom systéme Mac OS X. Na kurze Mac OS X I. Začiatočník ťa prevedieme základnými a pokročilými funkciami, ako napr. prácou s adresármi, ikonami a oknami. Naučíme ťa pracovať so zadávaním dát, presunom dát a s nástrojom Time Machine. Ukážeme ti ako spúšťať programy určené pre Windows a ako si nastaviť všetky dôležité predvoľby systému. Absolvent kurzu Mac OS X I. Začiatočník bude oboznámený s pojmami ako Automator, Dock, Spotlight, Finder, či Spaces.
136;Online kurz Marketing a Reklama;69;99,99;Marketing, Reklama a Právo;Na online kurze Marketing a Reklama sa dozvieš čo je marketingová koncepcia a stratégia. Dozvieš sa aké sú Google trendy ako využiť Google našepkávač a veľa iných nástrojov. Povieme si o potrebách a želaniach v čom je rozdiel. Aké sú hlavné piliere marketingovej koncepcie. Naučíš sa nastaviť si optimálnu cenovú politiku na základe analytiky z Google Analytics.
137;Online kurz Marketing vo Vyhľadávacích Nástrojoch a SEO;129;185;Marketing, Reklama a Právo;Online kurz Marketing vo Vyhľadávacích Nástrojoch a SEO je zameraný pre všetkých, ktorý chcú využiť odborné znalosti v praxi, nadobudnúť zručnosti vo využívaní vybraných marketingových nástrojov a kolaboračných programov. Pripraviť sa na budúcu prácu alebo podnikanie v oblasti manažmentu, marketingu a reklamy.
138;Online kurz Marketingové Aplikácie;119;165,2;Marketing, Reklama a Právo;Na online kurze Marketingové Aplikácie sa naučíš ako robiť efektívny online marketing a implementovať všetky prvky do tvojej digitálnej stratégie. Počas online kurzu Ťa prevedieme prípravou, nasadením, hodnotením digitálnej stratégie. Spoznáš Aplikácie digitálneho marketingu.
139;Online kurz Marketingové Nástroje;119;165,2;Marketing, Reklama a Právo;Na online kurze Marketingové Nástroje sa naučíte ako robiť efektívny online marketing a implementovať všetky prvky do Vašej digitálnej stratégie. Počas online kurzu Vás prevedieme prípravou, nasadením, hodnotením digitálnej stratégie. Spoznáte nástroje digitálneho marketingu a ich vzájomné prepájanie naprieč všetkými kanálmi.
140;Online kurz MATLAB I. Začiatočník;92;120,9;Programovacie Jazyky;Online kurz MATLAB I. Začiatočník je pre teba vhodný, ak sa chceš naučiť programovať v jazyku MATLAB. Po úvode do programovacieho jazyka MATLAB ťa naučíme pracovať s maticami a vektormi. Oboznámime ťa so základmi používania 2D a 3D grafiky. Zvládneš pracovať s obrázkami a zvukom a vytvárať vlastné animované sekvencie.
141;Online kurz MBA Projektový Management;244,99;349,99;Manažérske Kurzy;Na online kurze MBA Projektový Manažment ťa naučíme základy projektového riadenia. Dozvieš sa, čo je to integrované riadenie projektu a aká je úloha projektového manažéra. V tvorbe správneho harmonogramu a v definovaní rozsahu budeš ako doma. Efektívne plánovať, realizovať a vyhodnocovať výsledky projektu, využívaním moderných metód projektového manažmentu. Po absolvovaní online kurze MBA Projektový Manažment vytvoríš plán riadenia projektu a zvládneš celú jeho realizáciu.
142;Online kurz Microsoft Access I. Začiatočník;56;74,1;Kancelárske Balíky;Online kurz Microsoft Access I. Začiatočník je pre teba skvelou voľbou, ak sa chceš naučiť pracovať v Accesse. Naučíme ťa vytvárať a používať databázy, exportovať a importovať dáta. Navrhnúť si vlastnú databázu spolu s dopytmi a jednoduchými formulármi bude pre teba hračkou.
143;Online kurz Microsoft Access II. Mierne Pokročilý;73;96,2;Kancelárske Balíky;Online kurz Microsoft Access II. Mierne Pokročilý je pre teba ideálny, ak máš skúsenosti s Accessom alebo si absolvoval online kurz Microsoft Access I. Začiatočník. Naučíme ťa importovať a prepojiť Access s rôznymi aplikáciami z balíka Office. Osvojíš si prácu s databázou a základy práce s makrami. Zabezpečiť svoju databázu a nastaviť jej oprávnenia bude pre teba samozrejmosťou. Ako absolvent online kurzu Microsoft Access Pokročilý zvládneš využívať parametrické, akčné a krížové dopyty.
144;Online kurz Microsoft Access IV. Expert: Programovanie vo VBA;78;102,7;Kancelárske Balíky;Online kurz Microsoft Access IV. je pre teba vhodný, ak máš pokročilé znalosti programu Access. Naučíme ťa najdôležitejšie konštrukcie jazyka VBA a ošetrovať chyby v zdrojovom kóde. Staneš sa profesionálom v Microsoft Access a objavíš tajomstvá makier a jazyka VBA. Osvojíš si efektívne spracovávanie textu, čísel a dátumov vo VBA. Základy objektového modelu Microsoft Access budú pre teba samozrejmosťou. Ako absolvent kurzu Access zvládneš vytvárať používateľské funkcie a zostavy priamo v kóde. Zvládneš tiež používať rôzne objekty a dialógy.
145;Online kurz Microsoft Excel - Analýza Dát;75;98,8;Kancelárske Balíky;Online kurz Microsoft Excel - Analýza Dát ťa naučí pracovať s nástrojmi programu Microsoft Excel na analýzu dát. Ukážeme si štandardné štatisticko-analytické funkcie programu Microsoft Excel a predovšetkým doplnok Analýza dát (Analysis ToolPack), určený pre náročnejšie štatistické analýzy.
146;Online kurz Microsoft Excel - Controlling;79;104,40;Kancelárske Balíky;V online kurze Microsoft Excel - Controlling ťa naučíme vytvárať dátové sklady, môžeš tvoriť i viac položiek z rôznych častí podnikového informačného systému. Prepojenie je na báze Access, kde si ukážeme rôzne možnosti komunikácie medzi týmito systémami a podnikovým informačným systémom. Naučíš sa pracovať a načítavať dáta zo zatvorených alebo vzdialených excelovských súborov.
